,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.58840,0.63923,0.62296,0.95659,0.90461,0.92061
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.36840,0.41923,0.40296,0.92968,0.85052,0.87434
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
3,3,PCs,53550810953.45985,EP1B,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
4,4,DASDs,0.00000,EP1C,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
5,5,Printers,9260043910.94578,EP1D,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
7,7,Tape drives,0.00000,EP1F,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Computers and Software,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.50170,0.55253,0.53626,0.94888,0.88874,0.90714
10,10,Special industrial machinery,277678587240.98022,EI40,0.10310,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Industrial Machinery,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.14150,0.19233,0.17606,0.80509,0.63998,0.68493
11,11,General industrial equipment,476419502162.85541,EI50,0.10720,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Industrial Machinery,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.14560,0.19643,0.18016,0.81114,0.64891,0.69328
12,12,Office and accounting equipment,7268611167.04590,EP12,0.31190,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Instruments and Communications Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.35030,0.40113,0.38486,0.92590,0.84320,0.86801
13,13,Communications,498336136105.87726,EP20,0.11290,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Instruments and Communications Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.15130,0.20213,0.18586,0.81895,0.66062,0.70418
14,14,Photocopy and related equipment,25020946205.02676,EP31,0.18000,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Instruments and Communications Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.21840,0.26923,0.25296,0.87822,0.75630,0.79146
15,15,Nonelectro medical instruments,133227504586.31784,EP34,0.13500,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Instruments and Communications Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.17340,0.22423,0.20796,0.84396,0.69948,0.74002
16,16,Electro medical instruments,75049828223.00996,EP35,0.13500,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Instruments and Communications Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.17340,0.22423,0.20796,0.84396,0.69948,0.74002
17,17,Nonmedical instruments,108363933017.88855,EP36,0.13500,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Instruments and Communications Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.17340,0.22423,0.20796,0.84396,0.69948,0.74002
18,18,Household furniture,8900871527.04918,EO11,0.13750,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Office and Residential Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.17590,0.22673,0.21046,0.84636,0.70332,0.74354
19,19,Other furniture,201600171016.62607,EO12,0.11790,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Office and Residential Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.15630,0.20713,0.19086,0.82528,0.67027,0.71313
20,20,Household appliances,2759304252.24404,EO71,0.16500,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Office and Residential Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.20340,0.25423,0.23796,0.86860,0.73991,0.77674
21,21,Service industry machinery,100661650545.77032,EO60,0.15280,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19120,0.24203,0.22576,0.85959,0.72486,0.76313
22,22,Other electrical,16821590673.30212,EO72,0.18340,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.22180,0.27263,0.25636,0.88021,0.75973,0.79453
23,23,Other,219586535061.53326,EO80,0.14730,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.18570,0.23653,0.22026,0.85510,0.71749,0.75644
24,24,Nuclear fuel,6455272412.79992,EI11,0.25000,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.28840,0.33923,0.32296,0.90922,0.81169,0.84054
25,25,Other fabricated metals,117546642593.84708,EI12,0.09170,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.13010,0.18093,0.16466,0.78604,0.61256,0.65911
26,26,Metalworking machinery,218890188220.55261,EI30,0.12250,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.16090,0.21173,0.19546,0.83073,0.67867,0.72090
27,27,Electric transmission and distribution,423453244425.71625,EI60,0.05000,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.08840,0.13923,0.12296,0.66702,0.46296,0.51320
28,28,Farm tractors,24563500688.93158,EO21,0.14520,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.18360,0.23443,0.21816,0.85331,0.71457,0.75379
29,29,Construction tractors,9895536359.50878,EO22,0.16330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.20170,0.25253,0.23626,0.86742,0.73791,0.77494
30,30,Other agricultural machinery,46750113837.50497,EO30,0.11790,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.15630,0.20713,0.19086,0.82528,0.67027,0.71313
31,31,Other construction machinery,123582273309.20981,EO40,0.15500,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19340,0.24423,0.22796,0.86130,0.72770,0.76571
32,32,Mining and oilfield machinery,84858812350.85155,EO50,0.15000,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Other Industrial Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.18840,0.23923,0.22296,0.85734,0.72115,0.75977
33,33,Steam engines,91645013950.24467,EI21,0.05160,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.09000,0.14083,0.12456,0.67398,0.47080,0.52107
34,34,Internal combustion engines,12363020746.35256,EI22,0.20630,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.24470,0.29553,0.27926,0.89207,0.78055,0.81308
35,35,Light trucks (including utility vehicles),167619978536.64954,ET11,0.17250,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.21090,0.26173,0.24546,0.87359,0.74837,0.78435
36,36,"Other trucks, buses and truck trailers",119548128283.44501,ET12,0.17250,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.21090,0.26173,0.24546,0.87359,0.74837,0.78435
37,37,Autos,136239832218.22234,ET20,0.33330,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.37170,0.42253,0.40626,0.93033,0.85178,0.87543
38,38,Aircraft,265994401126.70795,ET30,0.08590,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.12430,0.17513,0.15886,0.77485,0.59694,0.64428
39,39,Ships and boats,62839620240.34708,ET40,0.06110,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.09950,0.15033,0.13406,0.70997,0.51301,0.56299
40,40,Railroad equipment,109045484546.04863,ET50,0.05890,0.25480,0.35000,0.31954,Equipment,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Transportation Equipment,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.09730,0.14813,0.13186,0.70236,0.50385,0.55395
41,41,Theatrical movies,157833245541.22495,AE10,0.09300,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.13140,0.18223,0.16596,0.78840,0.61589,0.66226
42,42,Long-lived television programs,144610873939.53967,AE20,0.16800,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.20640,0.25723,0.24096,0.87065,0.74336,0.77985
43,43,Books,67646468506.09869,AE30,0.12100,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.15940,0.21023,0.19396,0.82899,0.67598,0.71841
44,44,Music,15406510045.76745,AE40,0.26700,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.30540,0.35623,0.33996,0.91451,0.82154,0.84916
45,45,Other entertainment originals,15413496806.38999,AE50,0.10900,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.14740,0.19823,0.18196,0.81368,0.65269,0.69681
46,46,Own account software,198787829234.10889,ENS3,0.33000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.36840,0.41923,0.40296,0.92968,0.85052,0.87434
47,47,Pharmaceutical and medicine manufacturing,396355589473.99658,RD11,0.10000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.13840,0.18923,0.17296,0.80026,0.63291,0.67830
48,48,"Chemical manufacturing, ex. pharma and med",54399224281.00928,RD12,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
49,49,Computers and peripheral equipment manufacturing,9567048384.83953,RD21,0.40000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.43840,0.48923,0.47296,0.94127,0.87336,0.89400
50,50,Communications equipment manufacturing,38393784818.88548,RD22,0.27000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.30840,0.35923,0.34296,0.91538,0.82317,0.85059
51,51,Semiconductor and other component manufacturing,83580996525.44339,RD23,0.25000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.28840,0.33923,0.32296,0.90922,0.81169,0.84054
52,52,Navigational and other instruments manufacturing,30814085765.72150,RD24,0.29000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.32840,0.37923,0.36296,0.92075,0.83333,0.85944
53,53,"Other computer and electronic manufacturing, n.e.c.",1636224416.37729,RD25,0.40000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.43840,0.48923,0.47296,0.94127,0.87336,0.89400
54,54,Motor vehicles and parts manufacturing,39313793397.64573,RD31,0.31000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.34840,0.39923,0.38296,0.92548,0.84239,0.86731
55,55,Aerospace products and parts manufacturing,33211530576.08377,RD32,0.22000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.25840,0.30923,0.29296,0.89811,0.79137,0.82265
56,56,Software publishers,20657269549.42317,RD40,0.22000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.25840,0.30923,0.29296,0.89811,0.79137,0.82265
57,57,Financial and real estate services,6097212063.69451,RD50,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
58,58,Computer systems design and related services,6318822870.45265,RD60,0.36000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.39840,0.44923,0.43296,0.93516,0.86124,0.88359
59,59,Scientific research and development services,22814623102.50269,RD70,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
60,60,"All other nonmanufacturing, n.e.c.",86239268420.53497,RD80,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
61,61,Private universities and colleges,8714364638.50274,RD91,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
62,62,Other nonprofit institutions,36718605375.43617,RD92,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
63,63,Other manufacturing,207322515562.10355,RDOM,0.16000,0.25480,0.35000,0.31954,Intellectual Property,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Intellectual Property,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.19840,0.24923,0.23296,0.86505,0.73394,0.77135
64,64,Inventories,1540550422356.87988,INV,0.00000,0.27513,0.36877,0.33891,Inventories,0.01467,0.38952,0.32190,0.69400,0.68856,0.68967,Inventories,0.04466,0.09501,0.07893,corporate,0.03099,0.06542,0.05443,0.04466,0.09501,0.07893,0.00000,0.00000,0.00000
65,65,Land,3586505862665.65332,LAND,0.00000,0.25480,0.35000,0.31954,Land,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Land,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.03840,0.08923,0.07296,0.00000,0.00000,0.00000
66,66,Petroleum and natural gas,1033009084262.45227,SM01,0.07510,0.25480,0.35000,0.31954,Structures,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Mining and Drilling Structures,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.11350,0.16433,0.14806,0.75055,0.56424,0.61293
67,67,Mining,82930242550.87573,SM02,0.04500,0.25480,0.35000,0.31954,Structures,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Mining and Drilling Structures,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.08340,0.13423,0.11796,0.64322,0.43689,0.48687
68,68,Communication,578746934520.27332,SU20,0.02370,0.25480,0.35000,0.31954,Structures,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Mining and Drilling Structures,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.06210,0.11293,0.09666,0.48705,0.29009,0.33321
69,69,Gas,365538291966.44250,SU40,0.07510,0.25480,0.35000,0.31954,Structures,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Mining and Drilling Structures,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.11350,0.16433,0.14806,0.75055,0.56424,0.61293
70,70,Petroleum pipelines,112623061581.18890,SU50,0.02370,0.25480,0.35000,0.31954,Structures,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,Mining and Drilling Structures,0.03840,0.08923,0.07296,corporate,0.02474,0.05964,0.04847,0.06210,0.11293,0.09666,0.48705,0.29009,0.33321
